,Soluciones,Escenario,Horizonte,TOTAL A INVERTIR PREVENCION USD,TORRES A INTERVENIR,TORRES CON MAS DE UNA INTERVENCION
0,SOLUCIONES ITCO,SSP2 4.5,2020-2040,22768070.0,223.6,44.72
1,SOLUCIONES GAIA,SSP2 4.5,2020-2040,3806175.1,223.6,33.53999999999999
2,SOLUCIONES ITCO,SSP2 4.5,2040-2060,61013540.0,599.2,119.84000000000015
3,SOLUCIONES GAIA,SSP2 4.5,2040-2060,10199732.2,599.2,89.88000000000011
4,SOLUCIONES ITCO,SSP3 7.0,2020-2040,6618625.0,65.0,13.0
5,SOLUCIONES GAIA,SSP3 7.0,2020-2040,1106446.25,65.0,9.75
6,SOLUCIONES ITCO,SSP3 7.0,2040-2060,4378475.0,43.0,8.599999999999994
7,SOLUCIONES GAIA,SSP3 7.0,2040-2060,731956.75,43.0,6.449999999999996
8,SOLUCIONES ITCO,SSP5 8.5,2020-2040,35934042.5,352.9,70.58000000000015
9,SOLUCIONES GAIA,SSP5 8.5,2020-2040,6007152.025,352.9,52.935000000000116
10,SOLUCIONES ITCO,SSP5 8.5,2040-2060,63548982.5,624.1,124.82000000000005
11,SOLUCIONES GAIA,SSP5 8.5,2040-2060,10623586.225,624.1,93.61500000000001
